crop_id,year,month,expense_type,expense_subtype,total_yearly,total_monthly,percentage,crop_name
2,2024,1,Electricity Bills,Meter 1,49.93265317819683,3.0839528461809903e-16,6.1762246744132626e-18,Pineapple 
2,2024,2,Electricity Bills,Meter 1,49.93265317819683,3.0839528461809903e-16,6.1762246744132626e-18,Pineapple 
2,2024,3,Electricity Bills,Meter 1,49.93265317819683,3.0839528461809903e-16,6.1762246744132626e-18,Pineapple 
2,2024,4,Electricity Bills,Meter 1,49.93265317819683,3.0839528461809903e-16,6.1762246744132626e-18,Pineapple 
2,2024,5,Electricity Bills,Meter 1,49.93265317819683,3.0839528461809903e-16,6.1762246744132626e-18,Pineapple 
2,2024,6,Electricity Bills,Meter 1,49.93265317819683,9.170631054049409,0.1836599994260624,Pineapple 
2,2024,7,Electricity Bills,Meter 1,49.93265317819683,3.0839528461809903e-16,6.1762246744132626e-18,Pineapple 
2,2024,8,Electricity Bills,Meter 1,49.93265317819683,15.762022124147418,0.3156656240135448,Pineapple 
2,2024,9,Electricity Bills,Meter 1,49.93265317819683,3.0839528461809903e-16,6.1762246744132626e-18,Pineapple 
2,2024,10,Electricity Bills,Meter 1,49.93265317819683,25.0,0.5006743765603925,Pineapple 
2,2024,11,Electricity Bills,Meter 1,49.93265317819683,3.0839528461809903e-16,6.1762246744132626e-18,Pineapple 
2,2024,12,Electricity Bills,Meter 1,49.93265317819683,3.0839528461809903e-16,6.1762246744132626e-18,Pineapple 
6,2023,1,Fertilizer,Homic Acid,2428.008521954481,0.0,0.0,Wheat
6,2023,2,Fertilizer,Homic Acid,2428.008521954481,0.0,0.0,Wheat
6,2023,3,Fertilizer,Homic Acid,2428.008521954481,0.0,0.0,Wheat
6,2023,4,Fertilizer,Homic Acid,2428.008521954481,0.0,0.0,Wheat
6,2023,5,Fertilizer,Homic Acid,2428.008521954481,605.091855287814,0.2492132337331055,Wheat
6,2023,6,Fertilizer,Homic Acid,2428.008521954481,0.0,0.0,Wheat
6,2023,7,Fertilizer,Homic Acid,2428.008521954481,0.0,0.0,Wheat
6,2023,8,Fertilizer,Homic Acid,2428.008521954481,0.0,0.0,Wheat
